text,start,duration
not only opens up the original source,1620.88,3.76
which is this YouTube video it takes me,1622.799,4.321
to and highlights exactly the point that,1624.64,4.279
that came from this is a huge deal you,1627.12,4.0
guys you have to be able to trust what,1628.919,4.041
the AI is telling you and this new,1631.12,4.32
interface with inline citations is a,1632.96,5.04
huge step forward for that and finally,1635.44,5.239
feature number five let's talk about it,1638.0,5.44
for the very first time there is now a,1640.679,5.88
paid upgraded version of notebook LM the,1643.44,5.0
basic version which is most of what,1646.559,4.12
you've seen here is free and I would,1648.44,4.08
expect it to remain free most of,1650.679,5.24
Google's core tools are free but if you,1652.52,5.639
work on a team or a company or,1655.919,4.321
organization that wants to use notebook,1658.159,4.481
LM it may be worth checking out there's,1660.24,4.6
actually three separate ways to get,1662.64,4.48
notebook LM Plus either through Google,1664.84,4.28
workspace which you may have as part of,1667.12,4.919
your company through Google cloud or,1669.12,4.52
through Google one which can be,1672.039,3.24
purchased individually the pricing,1673.64,3.48
depends on exactly how you purchase it,1675.279,4.441
but it seems to be something around $20,1677.12,4.679
per month and there's four main things,1679.72,4.92
that you get as part of notebook LM plus,1681.799,5.48
the first one is an even bigger context,1684.64,5.32
window so instead of 25 million words,1687.279,4.64
you can have and this is just kind of,1689.96,3.88
mindboggling up,1691.919,5.561
to 15 million words the only use case I,1693.84,5.439
can think of for that is if you're at a,1697.48,3.52
company and you want to put in like all,1699.279,3.88
of the company's data into a prompt the,1701.0,4.279
second thing you get is five times,1703.159,4.12
higher usage limits so that means you,1705.279,4.12
can create five times more audio,1707.279,3.921
overviews and have five times more,1709.399,4.081
notebooks again mostly useful if you're,1711.2,3.959
working with a lot of other people on a,1713.48,3.439
team or in a company the third plus,1715.159,4.201
feature is what are called chat modes if,1716.919,4.12
you click on this button right here you,1719.36,4.919
can give notebook LM certain almost like,1721.039,5.201
personalities that it takes on in your,1724.279,3.481
interactions so let's say in this,1726.24,3.279
conversation you want it to take on the,1727.76,4.24
role of an analyst it will become more,1729.519,4.16
critical and more analytical or it could,1732.0,3.84
be more of a guide almost like a teacher,1733.679,4.521
or you can Define your own personality,1735.84,3.679
so let's say you wanted to act as a,1738.2,3.88
marketing expert or a life coach or a,1739.519,4.4
research assistant you can actually,1742.08,3.64
Define that and describe it right here,1743.919,3.48
in this box and then you can also,1745.72,3.679
customize it to make its responses,1747.399,4.721
longer or shorter but the fourth and I,1749.399,5.201
think by far the most important plus,1752.12,5.32
feature is the ability to collaborate,1754.6,5.16
within notebook LM think about it have,1757.44,4.2
you ever had a particularly interesting,1759.76,3.68
interaction with an AI you're getting,1761.64,3.68
some real insights and some real New,1763.44,3.359
Perspectives and then you think I want,1765.32,3.68
to share this there's often not an easy,1766.799,3.961
way to do that except copying and,1769.0,3.36
pasting things and sending them to,1770.76,3.799
people via email or slack or whatever,1772.36,3.84
but then you lose all the interaction,1774.559,3.921
it's just a static piece of text with,1776.2,4.4
plus you could actually get this entire,1778.48,4.24
notebook click this share button right,1780.6,4.12
here customize the permissions at a,1782.72,3.559
welcome note if you'd like and then,1784.72,3.24
choose whether you want to share the,1786.279,3.801
full notebook with all the sources that,1787.96,4.319
you've added with all the customizations,1790.08,4.52
with all the notes you saved or you can,1792.279,4.4
make it chat only you could give the,1794.6,3.64
people on your team or the people who,1796.679,3.24
work for you your employees or or even,1798.24,3.64
external collaborators the ability to,1799.919,4.521
talk with and go back and forth with the,1801.88,5.679
essentially custom AI model that you've,1804.44,5.44
created without you having to copy and,1807.559,3.881
paste stuff once you've decided on the,1809.88,3.36
settings all you have to do is click,1811.44,3.64
this link right here to copy the link,1813.24,3.36
and send it to them and they'll have,1815.08,3.88
access via their own free Google,1816.6,4.64
notebook LM account overall I would say,1818.96,4.04
plus really makes the most sense for,1821.24,4.319
people who have adopted notebook LM,1823.0,4.48
pretty seriously and are using it with,1825.559,4.641
others as part of companies like I,1827.48,5.6
said okay I've shared a lot with you so,1830.2,4.4
let's take a step back and kind of,1833.08,3.4
summarize the big picture here I think,1834.6,3.84
the big shift that's happening right now,1836.48,3.919
with notebook LM with this much bigger,1838.44,4.359
context window is just like a great,1840.399,5.64
teacher it's gaining a really fantastic,1842.799,5.401
shortterm memory think about how,1846.039,4.601
important it is that a great teacher can,1848.2,5.0
follow the thread of the topic that it's,1850.64,4.159
teaching you a great teacher can,1853.2,3.479
reference previous conversations what,1854.799,3.521
you just said a few minutes ago they can,1856.679,3.561
think into the future and plan out,1858.32,3.56
different stages of a curriculum that,1860.24,2.72
they're going to be teaching and,1861.88,2.639
coaching you through we're living in a,1862.96,4.439
time of just incredibly Fast Change in,1864.519,5.12
no small part because of AI but if,1867.399,4.081
there's one thing that I can say for,1869.639,3.801
certain it's that we're all going to,1871.48,4.679
have to learn much faster and much more,1873.44,5.839
often having an AI powerered worldclass,1876.159,5.64
teacher with a fantastic memory sitting,1879.279,4.801
next to you and guiding you through this,1881.799,4.801
unpredictable landscape is just a world,1884.08,4.479
changing and even life changing,1886.6,3.919
phenomenon that we all now have access,1888.559,4.08
to if anything that I covered resonated,1890.519,4.081
I encourage you to create a free account,1892.639,4.961
at notebook lm. goole.com and let me,1894.6,6.52
know what you think,1897.6,3.52
